Team First Last             Ag    G   AB    R    H  2B 3B  HR  RBI  BB   SO    BA   OBP   SLG  SB  CS GDP HBP  SH  SF IBB  OPS
 COL Elmer Dessens          36    5    6    2    0   0  0   0    0   2    2  .000  .250  .000   0   0   0   0   1   0   0  -29
 COL Matt Herges            37   35    6    0    0   0  0   0    0   0    5  .000  .000  .000   0   0   0   0   0   0   0 -100
 COL Alberto Arias          23    6    2    0    0   0  0   0    0   0    2  .000  .000  .000   0   0   0   0   0   0   0 -100
 COL Byung-Hyun Kim         28    3    2    0    0   0  0   0    0   0    1  .000  .000  .000   0   0   0   0   0   0   0 -100
 COL Denny Bautista         26    9    1    0    0   0  0   0    0   0    1  .000  .000  .000   0   0   0   0   0   0   0 -100
 COL Tim Harikkala          35    1    1    0    1   0  0   0    1   0    0 1.000 1.000 1.000   0   0   0   0   0   0   0  405
 COL LaTroy Hawkins         34   59    1    0    0   0  0   0    0   0    1  .000  .000  .000   0   0   0   0   0   0   0 -100
 COL Tom Martin             37   23    1    0    0   0  0   0    0   0    0  .000  .000  .000   0   0   1   0   1   0   0 -100
 COL Zach McClellan         28   12    1    0    0   0  0   0    0   0    1  .000  .000  .000   0   0   0   0   0   0   0 -100
 COL Ramon Ortiz            34   10    1    1    1   0  0   0    1   1    0 1.000 1.000 1.000   0   0   0   0   0   0   0  405
 NYM Paul LoDuca            35  119  445   46  121  18  1   9   54  24   33  .272  .311  .378   2   0  18   6   3  10   4   80
 NYM Carlos Delgado         35  139  538   71  139  30  0  24   87  52  118  .258  .333  .448   4   0  12  11   0   6   8  103
 NYM Luis Castillo          31   50  199   37   59   8  2   1   20  24   17  .296  .371  .372  10   2   2   0   7   1   0   96
 NYM David Wright           24  160  604  113  196  42  1  30  107  94  115  .325  .416  .546  34   5  14   6   0   7   6  150
 NYM Jose Reyes             24  160  681  119  191  36 12  12   57  77   78  .280  .354  .421  78  21   6   1   5   1  13  103
 NYM Moises Alou            40   87  328   51  112  19  1  13   49  27   30  .341  .392  .524   3   0  13   2   0   3   5  138
 NYM Carlos Beltran         30  144  554   93  153  33  3  33  112  69  111  .276  .353  .525  23   2   8   2   1  10  10  126
 NYM Shawn Green            34  130  446   62  130  30  1  10   46  37   62  .291  .352  .430  11   1  14   5   1   1   4  104
 NYM Damion Easley          37   76  193   24   54   6  0  10   26  19   35  .280  .358  .466   0   1   2   5   0   1   1  114
 NYM Ruben Gotay            24   98  190   25   56  12  0   4   24  16   42  .295  .351  .421   3   3   2   1   3   1   1  102
 NYM Lastings Milledge      22   59  184   27   50   9  1   7   29  13   42  .272  .341  .446   3   2   5   7   1   1   2  105
 NYM Jose Valentin          37   51  166   18   40  11  1   3   18  15   28  .241  .302  .373   2   1   5   0   1   1   4   76
 NYM Endy Chavez            29   71  150   20   43   7  2   1   17   9   16  .287  .325  .380   5   2   5   0   5   1   0   84
 NYM Ramon Castro           31   52  144   24   41   6  0  11   31  10   39  .285  .331  .556   0   0   1   1   0   2   0  127
 NYM Carlos Gomez           21   58  125   14   29   3  0   2   12   8   27  .232  .288  .304  12   3   0   3   0   3   2   56
 NYM David Newhan           33   56   74    9   15   1  1   1    6   8   19  .203  .289  .284   2   0   1   1   0   0   0   51
 NYM Marlon Anderson        33   43   69   14   22   7  0   3   25   5   12  .319  .355  .551   3   1   2   0   1   2   1  133
 NYM Julio Franco           48   40   50    7   10   0  0   1    8  10   13  .200  .328  .260   2   1   1   0   0   1   0   57
 NYM Jeff Conine            41   21   41    2    8   2  0   0    5   7    8  .195  .306  .244   0   0   1   0   1   1   2   47
 NYM Mike Difelice          38   16   40    1   10   2  1   0    5   2   12  .250  .311  .350   0   0   2   2   2   1   0   73
 NYM Ricky Ledee            33   17   36    6    8   3  0   1    6   5   10  .222  .310  .389   1   0   0   0   1   1   1   82
 NYM Ben Johnson            26    9   27    2    5   1  0   0    1   2   11  .185  .233  .222   0   0   0   0   0   1   0   21
 NYM Sandy Alomar           41    8   22    1    3   1  0   0    0   0    3  .136  .136  .182   0   0   0   0   0   0   0  -17
 NYM Chip Ambres            27    3    3    0    1   0  0   0    1   0    1  .333  .333  .333   0   0   0   0   0   0   0   76
 NYM Anderson Hernandez     24    4    3    1    1   0  0   0    0   0    1  .333  .333  .333   0   0   0   0   0   0   0   76
 NYM Tom Glavine            41   33   56    3   12   1  0   0    4   6    5  .214  .286  .232   0   0   0   0  12   1   0   38
 NYM Oliver Perez           25   27   56    6    9   0  0   0    1   0   15  .161  .161  .161   0   1   0   0   6   0   0  -15
 NYM John Maine             26   33   55    4    6   0  0   1    3   5   28  .109  .194  .164   0   0   0   1  14   1   0   -5
 NYM Orlando Hernandez      41   27   48    1    8   2  0   0    3   0   18  .167  .167  .208   2   0   0   0   6   0   0   -2
 NYM Jorge Sosa             30   41   25    0    5   2  0   0    1   3    9  .200  .286  .280   0   0   0   0   2   0   0   50
 NYM Mike Pelfrey           23   15   21    1    2   1  0   0    0   1    9  .095  .136  .143   0   0   0   0   0   0   0  -26
 NYM Brian Lawrence         31    6   12    1    3   0  0   0    3   0    4  .250  .250  .250   0   0   0   0   0   0   0   32
 NYM Pedro Martinez         35    5    9    1    1   1  0   0    0   0    6  .111  .111  .222   0   0   0   0   2   0   0  -15
 NYM Aaron Sele             37   31    4    0    0   0  0   0    0   1    1  .000  .200  .000   0   0   0   0   1   0   0  -41
