territory	total(sqkm)	total(sqmi)	land(sqkm)	land(sqmi)	water(sqkm)	water(sqmi)	water
Cuba	110860	42800	109820	42400	1040	400	0.94
Guatemala	108889	42042	107159	41374	1730	670	1.59
Iceland	103000	40000	100250	38710	2750	1060	2.67
SouthKorea	99720	38500	96920	37420	2800	1100	2.81
Hungary	93028	35918	89608	34598	3420	1320	3.68
Portugal	92090	35560	91470	35320	620	240	0.67
Jordan	89342	34495	88802	34287	540	210	0.6
Azerbaijan	86600	33400	82629	31903	3971	1533	4.59
Austria	83871	32383	82445	31832	1426	551	1.7
UnitedArabEmirates	83600	32300	83600	32300	0	0	0
CzechRepublic	78867	30451	77247	29825	1620	630	2.05
Serbia	77474	29913	77474	29913	0	0	0
Panama	75420	29120	74340	28700	1080	420	1.43
SierraLeone	71740	27700	71620	27650	120	46	0.17
Ireland	70273	27133	68883	26596	1390	540	1.98
Georgia	69700	26900	69700	26900	0	0	0
SriLanka	65610	25330	64630	24950	980	380	1.49
Lithuania	65300	25200	62680	24200	2620	1010	4.01
Latvia	64589	24938	62249	24034	2340	900	3.62
Svalbard	62045	23956	62045	23956	0	0	0
Togo	56785	21925	54385	20998	2400	930	4.23
Croatia	56594	21851	55974	21612	620	240	1.1
BritishIndianOceanTerritory	54400	21000	60	23	54340	20980	99.89
BosniaandHerzegovina	51197	19767	51187	19763	10	3.9	0.02
CostaRica	51100	19700	51060	19710	40	15	0.08
Slovakia	49035	18933	48105	18573	930	360	1.9
DominicanRepublic	48670	18790	48320	18660	350	140	0.72
Estonia	45228	17463	42388	16366	2840	1100	6.28
Denmark	43094	16639	42434	16384	660	250	1.53
Netherlands	41543	16040	33893	13086	7650	2950	18.41
Switzerland	41277	15937	39997	15443	1280	490	3.1
Bhutan	38394	14824	38394	14824	0	0	0
Guinea-Bissau	36125	13948	28120	10860	8005	3091	22.16
RepublicofChina	35980	13890	32260	12460	3720	1440	10.34
Moldova	33851	13070	32891	12699	960	370	2.84
Belgium	30528	11787	30278	11690	250	97	0.82
Lesotho	30355	11720	30355	11720	0	0	0
Armenia	29743	11484	28203	10889	1540	590	5.18
SolomonIslands	28896	11157	27986	10805	910	350	3.15
Albania	28748	11100	27398	10578	1350	520	4.7
EquatorialGuinea	28051	10831	28051	10831	0	0	0
Burundi	27830	10750	25680	9920	2150	830	7.73
Haiti	27750	10710	27560	10640	190	73	0.68
Rwanda	26338	10169	24668	9524	1670	640	6.34
RepublicofMacedonia	25713	9928	25433	9820	280	110	1.09
Djibouti	23200	9000	23180	8950	20	7.7	0.09
Belize	22966	8867	22806	8805	160	62	0.7
ElSalvador	21041	8124	20721	8000	320	120	1.52
Israel	20770	8020	20330	7850	440	170	2.12
Slovenia	20273	7827	20151	7780	122	47	0.6
NewCaledonia	18575	7172	18275	7056	300	120	1.62
Fiji	18274	7056	18274	7056	0	0	0
Kuwait	17818	6880	17818	6880	0	0	0
Swaziland	17364	6704	17204	6643	160	62	0.92
EastTimor	14874	5743	14874	5743	0	0	0
TheBahamas	13880	5360	10010	3860	3870	1490	27.88
Montenegro	13812	5333	13452	5194	360	140	2.61
PuertoRico	13790	5320	8870	3420	4921	1900	35.69
Vanuatu	12189	4706	12189	4706	0	0	0
FalklandIslands	12173	4700	12173	4700	0	0	0
MarshallIslands	11854	4577	181	70	11673	4507	98.47
Qatar	11586	4473	11586	4473	0	0	0
TheGambia	11295	4361	10000	3900	1295	500	11.47
Jamaica	10991	4244	10831	4182	160	62	1.46
Kosovo	10887	4203	10887	4203	0	0	0
Lebanon	10400	4000	10230	3950	170	66	1.63
Cyprus	9251	3572	9241	3568	10	3.9	0.11
FrenchSouthernandAntarcticLands	7747.4	2991.3	7667.6	2960.5	79.8	30.8	1.03
UnitedStatesPacificIslandWildlifeRefuges	6959.41	2687.04	22.41	8.65	6937	2678	99.68
WestBank	5860	2260	5640	2180	220	85	3.75
Brunei	5765	2226	5265	2033	500	190	8.67
TrinidadandTobago	5128	1980	5128	1980	0	0	0
FrenchPolynesia	4167	1609	3827	1478	340	130	8.16
CapeVerde	4033	1557	4033	1557	0	0	0
SouthGeorgiaandtheSouthSandwichIslands	3903	1507	3903	1507	0	0	0
Samoa	2831	1093	2821	1089	10	3.9	0.35
Luxembourg	2586	998	2586	998	0	0	0
Mauritius	2040	790	2030	780	10	3.9	0.49
UnitedStatesVirginIslands	1910	740	346	134	1564	604	81.88
Comoros	1862	719	1862	719	0	0	0
FaroeIslands	1393	538	1393	538	0.10	0.010	0.0010.00
HongKong	1104	426	1054	407	50	19	4.53
SaoTomeandPrincipe	964	372	964	372	0	0	0
Kiribati	811	313	811	313	0	0	0
Bahrain	760	290	760	290	0	0	0
Dominica	751	290	751	290	0	0	0
Tonga	747	288	717	277	30	12	4.02
FederatedStatesofMicronesia	702	271	702	271	0.10	0.010	0.0010.00
Singapore	697	269	687	265	10	3.9	1.43
SaintLucia	616	238	606	234	10	3.9	1.62
IsleofMan	572	221	572	221	0	0	0
Guam	544	210	544	210	0	0	0
Andorra	468	181	468	181	0	0	0
NorthernMarianaIslands	464	179	464	179	0	0	0
Palau	459	177	459	177	0	0	0
Seychelles	455	176	455	176	0	0	0
Curaçao	444	171	444	171	0	0	0
AntiguaandBarbuda	442.6	170.9	442.6	170.9	0	0	0
Barbados	431	166	431	166	0	0	0
TurksandCaicosIslands	430	170	430	170	0	0	0
HeardIslandandMcDonaldIslands	412	159	412	159	0	0	0
SaintVincentandtheGrenadines	389	150	389	150	0	0	0
JanMayen	377	146	377	146	0	0	0
GazaStrip	360	140	360	140	0	0	0
Grenada	344	133	344	133	0	0	0
Malta	316	122	316	122	0	0	0
SaintHelena,AscensionandTristandaCunha	308	119	308	119	0	0	0
